39;864;3377.4987;1999.8931;0;20.4014;1357.2042;63310.54;19630.72;3623.14;0;202;83;0;3784.6;2247.47;256.16;0;93137.63;1498.88;94636.51
40;341;1636.9756;330.2254;337.9511;617.2792;351.5199;3017.24;8316.03;6785.75;0;32971.13;6494.66;10383.16;34497.51;1361.75;2710.98;31710.68;138248.89;3367.01;141615.9
41;501;6389.5593;5062.9973;0;682.1186;644.4434;145601.83;40580.27;31552.59;77.71;21127.49;9513.82;3609.67;6601.72;5213.43;6413.09;0;270291.62;4519.28;274810.9
42;283;984.6752;623.828;0;187.7161;173.1311;6733.32;17611.2;1453.09;0;4497.95;5404.91;2136.18;2488.82;3517.01;1337.28;0;45179.76;614.47;45794.23
43;48;11.9598;0;0;0;11.9598;0;0;0;0;0;0;0;18.8;94.02;39.55;0;152.37;0;152.37
44;746;11056.8993;8155.9798;0;1602.279;1298.6405;237500.5;1280.17;1715.54;0;40228.99;12757.06;23898.65;21528.86;6865.66;21988.82;0;367764.25;6157.8;373922.05
45;41;138.0694;113.7678;0;8.079;16.2226;1046.42;931.32;258.4;0;35;149.86;0;32.1;87.14;117.05;0;2657.29;37.21;2694.5
46;617;4812.3902;3444.3238;0;1015.5821;352.4843;0;143491.96;1116.08;720.02;3075.61;55735.28;13756.33;565.31;12889.57;2306.99;0;233657.15;5317.45;238974.6
47;1231;5913.7253;4208.4275;33.4538;925.9905;745.8535;31246.89;165738.74;53475.04;926.9;55974.22;25781.99;11059.38;32322.18;26601.07;6459.01;3531;413116.42;21548.74;434665.16
48;5;10.9412;0;0;10.5336;0.4076;0;0;0;0;100.2;148.4;44.5;1;5.5;0;0;299.6;6.4;306
49;1154;19292.051;17295.0603;0;1009.2941;987.6966;260957.59;160317.95;454189.25;0;36572.96;11423.14;8305.98;17667.05;11276.79;15307.94;0;976018.65;18957.41;994976.06
51;12027;23424.1221;23423.1901;0;0;0.932;1449089.2;0;0;0;0;0;0;7.4;8.4;3.6;0;1449108.6;143610.47;1592719.07
52;65;103.7639;49.6004;0;27.5747;26.5888;1966.25;0;0;0;431.15;187;139;284.5;268.26;16.1;0;3292.26;79.83;3372.09
53;2;1.4;0;0;0;1.4;0;0;0;0;0;0;0;44.9;0;0;0;44.9;0;44.9
54;57;109.5516;74.6076;0;0;34.944;677.31;661.27;2126.68;0;0;0;0;983.04;145.35;649.61;0;5243.26;57.08;5300.34
55;7;39.0693;0;0;32.1961;6.8732;0;0;0;0;927.8;462.25;394.9;389.7;12.55;0;0;2187.2;66.4;2253.6
57;37;97.8704;71.7978;0;0;26.0726;883.6;515.18;101;0;0;0;0;913.2;57.26;71;0;2541.24;7.6;2548.84
