0330192E;Institut d'études politiques de Bordeaux;IEP de Bordeaux;Institut d'étude politique;Public;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux>Gironde>Pessac;33318;Pessac;Bordeaux;Gironde;Bordeaux;Nouvelle-Aquitaine;11 ALLÉE AUSONE DOM UNIV;33607;PESSAC CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0350937D;Université Rennes 2;;Université;Public;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;Rennes;Ille-et-Vilaine;Rennes;Bretagne;PLACE DU RECTEUR LE MOAL;35043;RENNES CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);17836;19478;20650;20632;21249;22294
0450855K;Université d'Orléans;;Université;Public;;Centre-Val de Loire>Loiret>Orléans;45234;Orléans;Orléans;Loiret;Orléans-Tours;Centre-Val de Loire;CHATEAU DE LA SOURCE;45067;ORLEANS CEDEX 2;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);14081;14433;13884;14153;14238;15475
0380134P;Institut d'études politiques de Grenoble;IEP de Grenoble;Institut d'étude politique;Public;Université Pierre Mendès France;Auvergne-Rhône-Alpes>Grenoble>Isère>Saint-Martin-d'Hères;38421;Saint-Martin-d'Hères;Grenoble;Isère;Grenoble;Auvergne-Rhône-Alpes;1030 AVENUE CENTRALE;38040;GRENOBLE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0590346F;Skema Business School;Skema;Établissements d'enseignement supérieur privés rattachés à un EPSCP;Privé;École centrale de Lille;Hauts-de-France>Lille>Nord>Lille;59350;Lille;Lille;Nord;Lille;Hauts-de-France;AVENUE WILLY BRANDT;59777;EURALILLE;France;;5130;5408;6306;6473;6187;6546
0352692L;Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage;Agro campus Ouest;Grand établissement relevant d'un autre département ministériel;Public;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;Rennes;Ille-et-Vilaine;Rennes;Bretagne;65 RUE DE ST BRIEUC;35042;RENNES CEDEX;France;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);1243;1391;1403;1433;1423;1459
0352317D;Institut d'études politiques de Rennes;IEP de Rennes;Institut d'étude politique;Public;Université de Rennes 1;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;Rennes;Ille-et-Vilaine;Rennes;Bretagne;104 BD DE LA DUCHESSE ANNE;35042;RENNES CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0350077U;École nationale supérieure de chimie de Rennes;ENS Chimie Rennes;Écoles nationales supérieures d'ingénieurs;Public;Université de Rennes 1;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;Rennes;Ille-et-Vilaine;Rennes;Bretagne;11 ALLÉE DE BEAULIEU;35708;RENNES CEDEX 7;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);445;475;469;476;489;481
0333326L;KEDGE Business School;;École de commerce et de management;Privé;;Nouvelle-Aquitaine>Bordeaux>Gironde>Talence;33522;Talence;Bordeaux;Gironde;Bordeaux;Nouvelle-Aquitaine;680 COURS DE LA LIBERATION;33405;TALENCE CEDEX;France;;0;0;0;0;0;0
0352756F;Université Bretagne Loire;UBL;Communauté d'universités et établissements;Public;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;Rennes;Ille-et-Vilaine;Rennes;Bretagne;1 PLACE PAUL-RICOEUR;35044;RENNES CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
